"Variables"	"X1"	"X2"	"MeanDecreaseAccuracy"	"MeanDecreaseGini"
"bio_19"	46.0912419976967	-1.10035194188281	45.8077093100972	51.3405889562999
"bio_14"	45.7059231047143	1.4069689249579	45.3580033836171	57.0511045073778
"bio_17"	45.2765782984936	1.02008086807489	44.8204065422225	62.0433127663557
"bio_11"	44.5144773948156	1.75457693067749	44.0225538306121	52.087560985234
"bio_6"	43.9525328203603	0.48721334538911	43.6754636729296	49.99940714506
"bio_1"	43.0285511529132	-0.646740115333964	42.9258581654535	57.9359403289177
"bio_8"	42.8906641701737	-0.900840490374438	42.8686854075387	49.02841145715
"bio_12"	42.5268299945225	0.182811450579347	42.1474268342292	49.1892219736006
"bio_7"	41.9205498788936	-0.184439154567534	41.9568291115791	35.8032911886363
"bio_10"	41.430533413423	-0.758789032036136	41.2973795489495	49.5864465020499
"bio_9"	41.2162532272838	0.457120787024888	40.8618153525551	46.8709250232376
"bio_2"	40.0540865517519	0.14990285521169	40.0228361598721	32.0871897247571
"bio_5"	38.8880914476837	0.555873715043234	38.6817056397043	36.5400176811581
"bio_15"	37.2107891179148	1.37932319500517	37.1819474758929	38.9751185830292
"bio_13"	36.7064272741868	0.23962261801029	36.3884448413979	41.8814921326426
"bio_4"	35.8647235643063	0.646764781621019	35.5985981194841	34.1735489936428
"bio_16"	35.6710264324755	0.909746880140866	35.5897169384244	41.5925144176106
"bio_18"	33.0432719244731	0.830882534882521	32.7459503373909	27.4677636265431
"bio_3"	31.9280110419142	-0.725960610422038	31.5524909487789	27.851893412873
